MeetingID,MeetingName,SubjectID,Date,TeacherID,TranslatorID,LanguageID,UnitPrice
1,Wprowadzenie do filozofii,1,2024-03-01 01:54:16.000,16,,2,719.1900
2,Podstawy włókiennictwa,1,2024-10-01 08:30:18.000,9,23,15,239.2500
3,Historia kościoła i architektury sakralnej,2,2024-10-31 01:30:30.000,48,,2,215.4900
4,Struktury i organizacje,2,2024-02-23 12:55:33.000,3,,2,156.3200
5,Medycyna weterynaryjna podstawowa,3,2024-01-01 20:03:27.000,2,,2,952.7300
6,Kartografia Morza Śródziemnego,3,2024-02-04 01:17:29.000,47,,2,974.0100
7,Regulacje prawne w biznesie,4,2024-07-24 04:36:55.000,22,,2,656.6400
8,Podstawy ekonomii handlowej,4,2024-09-22 17:40:21.000,42,,2,798.4400
9,Współczesne systemy walutowe,5,2024-08-19 00:53:39.000,26,,2,938.2300
10,Definicje i pojęcia podstawowe,5,2024-11-30 16:30:07.000,10,,2,382.4700
11,Etyka w biznesie,6,2024-11-13 10:07:46.000,27,,2,877.2800
12,Architektura współczesna,6,2024-07-31 01:25:57.000,22,,2,599.4300
13,Sztuka i estetyka,7,2024-12-22 00:05:37.000,22,,2,791.4200
14,Zarządzanie usługami,7,2024-01-19 20:49:45.000,27,,2,559.1000
15,Marketing i sprzedaż,8,2024-06-06 04:24:14.000,3,,2,124.7200
16,Muzyka współczesna,8,2024-09-18 10:19:31.000,24,,2,694.8700
17,Zachowania społeczne zwierząt,9,2024-09-20 01:42:26.000,38,8,20,198.3100
18,Seminarium wiosenne,9,2024-01-07 14:38:50.000,15,,2,973.6000
19,Nauki przyrodnicze,10,2024-09-26 18:27:57.000,15,,2,549.4000
20,Metodologia badań,10,2024-01-24 19:14:59.000,32,,2,938.5200
21,Podstawy oceanografii,11,2024-09-25 03:48:41.000,47,,2,350.7100
22,Transport lotniczy,11,2024-09-14 07:15:35.000,12,,2,546.9400
23,Zarządzanie czasem,12,2024-08-08 11:15:35.000,44,,2,185.3900
24,Prawo kanoniczne,12,2024-05-21 02:47:30.000,6,,2,541.2400
25,Architektura zamków średniowiecznych,13,2024-11-09 06:19:44.000,11,,2,958.0300
26,Kompozycja i struktura,13,2024-09-01 13:06:09.000,3,,2,910.3700
27,Socjologia mieszkalnictwa,14,2024-11-19 07:05:42.000,36,22,20,999.7700
28,Demografia i populacja,14,2024-07-26 13:49:16.000,45,,2,763.1300
29,Psychologia poznawcza,15,2024-07-29 05:20:28.000,33,,2,608.2600
30,Oceanografia ogólna,15,2024-06-22 00:42:20.000,33,,2,718.2500
31,Astronomia podstawowa,16,2024-10-05 13:27:07.000,14,,2,426.4300
32,Psychologia głodu,16,2024-07-24 20:37:04.000,44,,2,280.6600
33,Metodologia badań naukowych,17,2024-12-18 21:41:59.000,4,9,27,902.0200
34,Sztuka ukraińska,17,2024-08-13 03:58:31.000,31,26,21,593.6700
35,Psychologia woli,18,2024-10-29 09:09:59.000,12,,2,131.8700
36,Socjologia płci,18,2024-02-12 19:23:58.000,7,,2,134.4700
37,Anatomia kliniczna,19,2024-06-06 05:13:37.000,5,25,15,520.5600
38,Metodyka badań medycznych,19,2024-03-16 20:51:23.000,45,,2,152.1800
39,Farmakologia ogólna,20,2024-11-11 05:25:55.000,3,10,18,940.7100
40,Metodyka nauczania,20,2024-07-03 20:36:15.000,45,,2,529.1000
41,System podatkowy,21,2024-03-07 15:18:18.000,14,9,27,724.3800
42,Geografia Ziemi,21,2024-06-15 15:10:00.000,4,,2,110.1200
43,Historia Włoch,22,2024-08-04 13:00:39.000,12,,2,132.8500
44,Systemy obronne,22,2024-06-05 02:17:14.000,11,,2,652.0200
45,Politologia stosowana,23,2024-02-09 16:35:45.000,45,,2,593.6100
46,Administracja państwowa,23,2024-04-24 00:49:41.000,23,8,19,378.7700
47,Służba cywilna,24,2024-08-21 18:08:15.000,35,,2,178.8900
48,Jesienne seminarium międzynarodowe,24,2024-04-09 02:27:20.000,20,,2,829.7800
49,Etyka studencka,25,2024-11-18 21:43:20.000,3,16,22,787.2400
50,Metodologia badań społecznych,25,2024-07-08 00:13:07.000,31,,2,452.7300
51,Lingwistyka stosowana,26,2024-05-07 19:26:18.000,9,,2,280.7200
52,Anatomia narządów,26,2024-08-11 22:59:03.000,42,20,5,795.2200
53,Technologia żywności,27,2024-02-22 09:07:34.000,20,,2,324.2100
54,Socjologia małżeństwa,27,2024-11-01 04:56:58.000,49,,2,392.1200
55,Demografia wsi,28,2024-01-19 05:53:46.000,26,,2,792.2000
56,Ochrona środowiska,28,2024-05-31 09:30:23.000,40,,2,140.8900
57,Archeologia stosowana,29,2024-07-16 04:50:42.000,27,,2,442.5600
58,Socjologia rodziny,29,2024-10-10 05:43:28.000,16,,2,405.4100
59,Teologia podstawowa,30,2024-07-24 23:56:53.000,45,,2,942.7300
60,Zarządzanie ryzykiem,30,2024-06-07 02:24:45.000,5,,2,234.6000
61,Język hiszpański dla początkujących,31,2024-08-23 06:37:10.000,26,,2,313.4700
62,Literatura szwajcarska,31,2024-01-16 02:59:58.000,38,,2,324.5800
63,Statystyka zaawansowana,32,2024-10-09 21:03:31.000,14,,2,189.2600
64,Zarządzanie jednostką organizacyjną,32,2024-08-02 05:28:46.000,43,,2,190.3100
65,Muzealnictwo,33,2024-06-18 05:21:39.000,6,,2,935.9700
66,Ornitologia podstawowa,33,2024-10-09 14:14:05.000,13,,2,588.7000
67,Chemia stosowana,34,2024-03-04 21:40:52.000,24,,2,394.0400
68,Systemy penitencjarne,34,2024-02-26 14:41:49.000,13,,2,880.4500
69,Metodologia studiów,35,2024-08-07 03:46:47.000,42,,2,816.4700
70,Metodyka badawcza,35,2024-01-12 11:13:33.000,8,,2,765.5300
71,Wystawa sztuki współczesnej,36,2024-12-14 23:37:59.000,27,,2,205.0700
72,Historia Szwajcarii,36,2024-02-02 06:29:55.000,28,,2,664.4500
73,Biomechanika ruchu,37,2024-08-15 09:36:29.000,24,,2,415.8700
74,Onomastyka stosowana,37,2024-08-15 08:09:03.000,1,15,23,733.8800
75,Socjologia głodu,38,2024-02-04 04:20:54.000,12,15,23,245.4300
76,Psychologia lęku,38,2024-01-05 14:15:24.000,3,,2,383.1200
77,Tożsamość narodowa,39,2024-05-19 13:40:13.000,23,,2,392.8500
78,Literatura regionalna,39,2024-01-20 03:59:45.000,41,,2,834.8600
79,Socjologia obywatelska,40,2024-09-28 05:00:23.000,14,,2,577.5300
80,Polityka czeska,40,2024-10-16 23:02:42.000,8,17,30,466.9600
81,Historia średniowiecza,41,2024-04-05 02:17:59.000,32,,2,629.2900
82,Psychologia prezentów,41,2024-10-20 08:41:40.000,1,,2,322.9000
83,Metodologia badań,42,2024-11-09 12:47:51.000,17,,2,545.8600
84,Geografia południa,42,2024-08-10 13:49:19.000,26,,2,719.3700
85,Psychologia kontaktu,43,2024-11-01 17:45:43.000,10,23,6,512.4600
86,Historia Grecji starożytnej,43,2024-02-12 00:29:00.000,6,,2,313.0100
87,Demografia możliwości,44,2024-03-29 18:04:40.000,32,16,8,300.7700
88,Socjologia godności,44,2024-06-21 02:09:58.000,6,,2,579.2900
89,Rozwiązywanie problemów,45,2024-05-19 16:21:45.000,39,,2,386.0000
90,Socjologia stosunków społecznych,45,2024-03-16 11:22:53.000,4,22,11,315.3200
91,Historia Wielkiej Brytanii,46,2024-07-16 07:28:51.000,1,,2,463.1500
92,Sztuka chińska,46,2024-06-16 20:15:52.000,43,,2,759.0700
93,Historia wojskowości,47,2024-04-23 23:24:52.000,29,,2,587.7600
94,Metodologia oceny,47,2024-04-10 08:36:09.000,34,22,20,675.1100
95,Meteorologia podstawowa,48,2024-01-06 08:07:06.000,33,16,22,371.3000
96,Psychologia przeciwności,48,2024-03-20 22:07:42.000,40,,2,676.0200
97,Zarządzanie ryzykiem,49,2024-05-27 17:28:12.000,46,,2,106.2400
98,Święta w kulturze,49,2024-06-06 02:19:53.000,26,1,19,615.8000
99,Literatura kobieca,50,2024-06-18 07:41:52.000,4,,2,503.2300
100,Zoologia podstawowa,50,2024-04-20 03:59:18.000,9,,2,216.4200
101,Historia teatru,51,2024-01-31 23:50:38.000,16,,2,584.8900
102,Meteorologia śnieżna,51,2024-08-10 00:08:23.000,15,,2,388.6200
103,Anatomia klatki piersiowej,52,2024-12-03 11:21:09.000,3,22,20,904.4100
104,Architektura angielska,52,2024-01-04 10:04:03.000,34,,2,794.6500
105,Analiza skutków,53,2024-04-28 03:15:18.000,26,,2,654.1400
106,Transport morski,53,2024-12-19 13:23:56.000,11,17,7,534.1100
107,Socjologia mas,54,2024-02-13 10:29:11.000,3,,2,285.8900
108,Metodologia badań klinicznych,54,2024-08-05 20:14:53.000,44,,2,146.1900
109,Literatura starożytnego Rzymu,55,2024-05-28 17:09:46.000,50,,2,148.2100
110,Pedagogika muzyczna,55,2024-01-15 06:20:24.000,18,25,16,846.2800
111,Ekologia lasu,56,2024-02-11 03:13:50.000,12,,2,710.3000
112,Zarządzanie zasobami wodnymi,56,2024-09-24 16:56:42.000,6,,2,854.0100
113,Studia europejskie,57,2024-05-10 09:02:35.000,21,9,27,206.6300
114,Medycyna francuska,57,2024-04-30 12:00:57.000,20,17,7,678.6800
115,Teologia i duchowość,58,2024-09-11 14:52:44.000,10,,2,957.8400
116,Historia świątyń starożytnych,58,2024-08-26 00:41:53.000,37,28,28,919.4300
117,Literatura współczesna,59,2024-02-20 06:48:34.000,9,,2,975.4700
118,Administracja publiczna,59,2024-10-29 10:27:51.000,45,,2,678.9800
119,Planowanie strategiczne,60,2024-01-02 03:55:28.000,7,,2,604.5000
120,Ekonomia handlu międzynarodowego,60,2024-11-11 06:03:42.000,16,25,16,723.8400
121,Metodologia wniosków badawczych,52,2024-04-16 14:56:26.000,11,,2,984.2300
123,Historia Australii,23,2024-07-27 05:00:11.000,3,,2,374.3700
125,Dynamika ruchu,33,2024-12-22 16:59:54.000,1,,2,891.0500
127,Opieka zdrowotna,6,2024-11-18 05:28:09.000,11,,2,274.4500
129,Studia białoruskie,19,2024-11-23 07:09:24.000,4,,2,431.1500
131,Seminarium profesorskie,51,2024-08-05 14:56:12.000,37,,2,625.5700
133,Metodyka przygotowania badań,44,2024-05-22 17:32:33.000,42,,2,779.6800
135,Podstawy analizy,34,2024-07-15 09:32:21.000,22,,2,631.4000
137,Wprowadzenie do nauk społecznych,16,2024-01-25 09:08:33.000,1,,2,817.4000
139,Organizacja systemów edukacyjnych,56,2024-02-02 14:07:30.000,28,,2,556.4000
